study_id,site_id,year,soil_sampling,Before or at rye planting,rep,soil_cores_sampled,soil_depth_cm,soil_NH4,soil_NH4_units,soil_NO3,soil_NO3_units,total_inorganic_N,total_inorganic_N_units,soil_textural_class,percent_sand,percent_silt,percent_clay,bulk_density_g_cm3,percent_SOM,percent_SOC,pH
17,Arlington,2015-2016,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,3.3,,6.2
17,Arlington,2015-2016,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,3.2,,7.2
17,Arlington,2015-2016,TRUE,Before or at rye planting,3,,0-15,,,,,,,,,,,,3.4,,6.5
17,Arlington,2015-2016,TRUE,Before or at rye planting,4,,0-15,,,,,,,,,,,,4.2,,6.1
17,Arlington,2016-2017,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,3,,6.7
17,Arlington,2016-2017,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,3.4,,6.2
17,Arlington,2016-2017,TRUE,Before or at rye planting,3,,0-15,,,,,,,,,,,,3.6,,6.3
17,Arlington,2016-2017,TRUE,Before or at rye planting,4,,0-15,,,,,,,,,,,,3.6,,6.4
17,Hancock,2015-2016,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,0.8,,6.5
17,Hancock,2015-2016,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,0.7,,6
17,Hancock,2015-2016,TRUE,Before or at rye planting,3,,0-15,,,,,,,,,,,,1,,6.6
17,Hancock,2015-2016,TRUE,Before or at rye planting,4,,0-15,,,,,,,,,,,,0.9,,6.4
17,Hancock,2016-2017,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,0.7,,6.3
17,Hancock,2016-2017,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,0.7,,6.4
17,Marshfield,2015-2016,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,4,,6.9
17,Marshfield,2015-2016,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,3.4,,6.6
17,Marshfield,2015-2016,TRUE,Before or at rye planting,3,,0-15,,,,,,,,,,,,3.8,,6.7
17,Marshfield,2015-2016,TRUE,Before or at rye planting,4,,0-15,,,,,,,,,,,,3.7,,7
17,Marshfield,2016-2017,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,3.8,,6.8
17,Marshfield,2016-2017,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,3.7,,6.7
17,Marshfield,2016-2017,TRUE,Before or at rye planting,3,,0-15,,,,,,,,,,,,3.6,,6.8
17,Marshfield,2016-2017,TRUE,Before or at rye planting,4,,0-15,,,,,,,,,,,,4.1,,6.7
18,University of Wisconsin Arlington Agricultural Research Station,2011-2012,FALSE,,,,,,,,,,,silt loam,,,,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2012-2013,FALSE,,,,,,,,,,,silt loam,,,,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2013-2014,FALSE,,,,,,,,,,,silt loam,,,,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2014-2015,FALSE,,,,,,,,,,,silt loam,,,,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2016-2017,FALSE,,,,,,,,,,,silt loam,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,1,,0-30,,,1.95,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,2,,0-30,,,2.45,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,3,,0-30,,,1.22,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,4,,0-30,,,1.06,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,1,,30-60 ,,,1.25,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,2,,30-60 ,,,1.62,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,3,,30-60 ,,,1.42,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2014-2015,TRUE,After or at rye termition,4,,30-60 ,,,1.09,NO3-N (ppm),,,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,3,,0-30,3.1,NH4-N (ppm),2.6,NO3-N (ppm),5.7,N ppm,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,4,,0-30,6.2,NH4-N (ppm),2.5,NO3-N (ppm),8.7,N ppm,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,1,,0-30,5.3,NH4-N (ppm),5.2,NO3-N (ppm),10.5,N ppm,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,2,,0-30,4.2,NH4-N (ppm),2.7,NO3-N (ppm),6.9,N ppm,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,3,,30-60 ,1.7,NH4-N (ppm),1.3,NO3-N (ppm),3,N ppm,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,4,,30-60 ,2.2,NH4-N (ppm),1.6,NO3-N (ppm),3.8,N ppm,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,1,,30-60 ,2.9,NH4-N (ppm),1.5,NO3-N (ppm),4.4,N ppm,,,,,,,,
19,Soaring Eagle Dairy,2015-2016,TRUE,After or at rye termition,2,,30-60 ,2.4,NH4-N (ppm),1.5,NO3-N (ppm),3.9,N ppm,,,,,,,,
20,"Georgetown, DE",2012-2013,FALSE,,,,,,,,,,,Loamy sand/ sandy loam,,,,,,,
20,"Georgetown, DE",2013-2014,FALSE,,,,,,,,,,,Loamy sand/ sandy loam,,,,,,,
